2022-10-20 09:15:14.594 | INFO     | __main__:<module>:175 - {'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8459, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'gamma': 0.05555, 'gpu_id': None, 'grow_policy': 'lossguide', 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0003194, 'max_bin': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 45, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 5938, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.12612, 'reg_lambda': 3.2312e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.35122, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}
2022-10-20 09:15:19.208 | WARNING  | __main__:<module>:186 - 0.714	0.727	0.727	0.727
2022-10-20 09:15:19.210 | INFO     | __main__:<module>:175 - {'objective': 'binary:logistic', 'use_label_encoder': False, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.8459, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'gamma': 0.05555, 'gpu_id': None, 'grow_policy': 'lossguide', 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.0003194, 'max_bin': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 45, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 5938, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.12612, 'reg_lambda': 3.2312e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.35122, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}
2022-10-20 09:15:23.863 | WARNING  | __main__:<module>:186 - 0.762	0.8	0.727	0.762
2022-10-20 09:15:23.967 | WARNING  | __main__:<module>:195 - accuracy		mean:0.729	std:0.104
2022-10-20 09:15:23.967 | WARNING  | __main__:<module>:197 - precision		mean:0.738	std:0.117
2022-10-20 09:15:23.981 | WARNING  | __main__:<module>:199 - recall		mean:0.716	std:0.131
2022-10-20 09:15:23.982 | WARNING  | __main__:<module>:201 - f1		mean:0.723	std:0.112
2022-10-20 09:25:24.957 | WARNING  | __main__:<module>:51 - 0.86	0.868	0.852	0.86
2022-10-20 09:26:03.494 | WARNING  | __main__:<module>:51 - 0.832	0.821	0.852	0.836
2022-10-20 09:26:41.292 | WARNING  | __main__:<module>:51 - 0.841	0.825	0.87	0.847
2022-10-20 09:27:20.877 | WARNING  | __main__:<module>:51 - 0.822	0.815	0.83	0.822
2022-10-20 09:27:59.284 | WARNING  | __main__:<module>:51 - 0.822	0.804	0.849	0.826
2022-10-20 09:28:39.291 | WARNING  | __main__:<module>:51 - 0.879	0.857	0.906	0.881
2022-10-20 09:29:19.503 | WARNING  | __main__:<module>:51 - 0.887	0.902	0.868	0.885
2022-10-20 09:29:59.322 | WARNING  | __main__:<module>:51 - 0.858	0.88	0.83	0.854
2022-10-20 09:30:37.682 | WARNING  | __main__:<module>:51 - 0.877	0.9	0.849	0.874
2022-10-20 09:31:16.621 | WARNING  | __main__:<module>:51 - 0.83	0.843	0.811	0.827
2022-10-20 09:31:43.931 | WARNING  | __main__:<module>:60 - accuracy		mean:0.79	std:0.097
